x1,y1,z1,x2,y2,z2
0,0,0,-0.1003876786,0.1425220111,-0.0850216982
0,0,0,-0.8410983624,0.7452536875,0.0772495602
-0.3878725171,-0.0909824446,10.8460645676,-0.0869003373,1.1625059973,0.8221009572
-0.019154191,-0.612934351,20.0281085968,-0.418153016,2.4717648913,0.2344930234
-0.2298503816,-1.216291666,29.8350582123,-0.1971224589,-1.6947623955,1.3248698703
-0.44533512,-1.8555630445,39.6444015503,0.0391933774,-0.4899132368,1.358065421
0.1173194349,-1.9944310188,51.1393127441,-0.7593299676,1.8440942522,-0.7372868167
-0.0861939192,5.396695137,53.0451545715,-1.2926664099,0.3675265892,-0.5633731797
-8.5954465866,7.0894474983,55.5088653564,0.9506245266,-0.3286957189,-0.0551875444
-20.2411994934,5.3583869934,58.2048187256,1.5272555356,2.140810573,-0.1047271725
-25.9012641907,10.4127006531,59.2271728516,2.2523190195,2.0306448638,0.6537487567
-31.8534317017,10.1924276352,69.3669281006,1.849369629,-0.9049177044,1.9999387
-32.0689163208,9.7016010284,79.1714859009,0.8336187142,-0.736099554,2.1181425229
-32.2844009399,9.2083806992,88.9975891113,2.4299833117,-0.4799451866,1.5259703198
-32.4974899292,8.7151603699,98.7925643921,1.7358332289,1.0507671717,-0.621228886
-32.7033958435,8.2123622894,108.6210632324,3.1969496555,2.3104524686,0.4098656976
,,,-0.9095124784,3.562148601,0.6558445311
,,,0.9839322651,-1.2435609257,2.1151905092
,,,-0.9924494245,2.8125156911,0.3117759932
,,,2.349425425,0.0354567948,1.783211657
,,,-1.6055078405,-0.764543463,0.472856802
,,,2.6821612242,-0.463534095,0.9184087229
,,,2.2266516916,0.1219698813,3.3635786789
,,,-0.77570783,3.1037238733,0.2531213239
,,,0.5690309219,-3.078032667,2.0049424545
,,,0.3108492826,3.9472215857,0.725818892
,,,2.3993520613,-2.3010720086,-0.7914144277
,,,-1.6604570241,0.5224051647,0.3398002509
,,,3.7674787806,2.0939911406,1.4363369223
,,,3.0533345917,-0.206807957,-0.6447592864
,,,-3.3593236819,-0.102937553,1.0625201149
,,,3.4373048255,1.9374148209,-0.8846043936
,,,-3.0761100181,2.1393992981,0.5908380978
,,,-0.8428503435,2.317317112,-1.7751760161
,,,3.5000855635,2.0426696667,1.0338677503
,,,0.1650855967,-2.8304406231,-0.4510817152
,,,-0.3395612683,-1.2961722286,2.8990035648
,,,-1.7474744854,-0.0602624529,1.5048507431
,,,3.561488865,-0.2882155343,-0.1999706229
,,,1.8353330132,3.9347899983,2.7185015741
,,,-1.904280866,0.1857083693,-2.3789649391
,,,-0.9126889599,-0.4959446393,-1.0329530247
,,,-2.3782536299,-0.1475277157,1.4231843273
